Naif_id,Body,IAU2015_Mean,IAU2015_Semimajor,IAU2015_Axisb,IAU2015_Semiminor,rotation,origin_long_name,origin_lon_pos
720,Stephano,-1,-1,-1,-1,,,
721,Trinculo,-1,-1,-1,-1,,,
722,Francisco,-1,-1,-1,-1,,,
723,Margaret,-1,-1,-1,-1,,,
724,Ferdinand,-1,-1,-1,-1,,,
725,Perdita,-1,-1,-1,-1,,,
726,Mab,-1,-1,-1,-1,,,
727,Cupid,-1,-1,-1,-1,,,
899,Neptune,24622000.00,24764000.00,24764000.00,24341000.00,Direct,,
801,Triton,1352600.00,1352600.00,1352600.00,1352600.00,Retrograde,,
802,Nereid,170000.00,170000.00,170000.00,170000.00,,,
803,Naiad,29000.00,29000.00,29000.00,29000.00,Direct,,
804,Thalassa,40000.00,40000.00,40000.00,40000.00,Direct,,
805,Despina,74000.00,74000.00,74000.00,74000.00,Direct,,
806,Galatea,79000.00,79000.00,79000.00,79000.00,Direct,,
807,Larissa,96000.00,96000.00,96000.00,89000.00,Direct,,
808,Proteus,208000.00,218000.00,208000.00,201000.00,Direct,,
809,Halimede,-1,-1,-1,-1,,,
810,Psamathe,-1,-1,-1,-1,,,
811,Sao,-1,-1,-1,-1,,,
812,Laomedeia,-1,-1,-1,-1,,,
813,Neso,-1,-1,-1,-1,,,
999,Pluto,1188300.00,1188300.00,1188300.00,1188300.00,Direct,Mean sub-Charon meridian,0
901,Charon,606000.00,606000.00,606000.00,606000.00,Direct,Mean sub-Pluto meridian,0
1000005,Borrelly,4220.00,3500.00,-1,-1,Direct,,
1000012,Churyumov-Gerasimenko,1650.00,2400.00,1550.00,1200.00,Direct,a large boulder called Cheops,0
1000036,Halley,-1.00,8000.00,4000.00,4000.00,,,
1000041,Hartley 2,580.00,340.00,1160.00,1160.00,,An isolated large mount on the waist near the large lobe,0
1000093,Tempel 1,3000.00,3700.00,2500.00,-1,Direct,A 350 m diameter unnamed circular feature near the Deep Impactor impact site,0
1000107,Wild 2,1975.00,2700.00,1900.00,1500.00,,,
9511010,Gaspra,6100.00,9100.00,5200.00,4400.00,Direct,Charax,0
2431010,Ida,15650.00,26800.00,12000.00,7600.00,Direct,Afon,0
2431011,Dactyl,-1,-1,-1,-1,,,
2000001,Ceres,470000.00,487300.00,487300.00,446000.00,Direct,Kait,0
2000002,Pallas,-1,-1,-1,-1,Direct,The direction (positive x) of the long axis of the Carry et al. (2010) shape model,0
2000004,Vesta,255000.00,289000.00,280000.00,229000.00,Direct,Claudia,146
2000016,Psyche,113000.00,139500.00,116000.0,94500.00,,,
2000021,Lutetia,52500.00,62000.00,50500.00,46500.00,Direct,Arbitrarily defined based on light curve information,0
2000052,52 Europa,157500.00,189500.00,165000.00,124500.00,Direct,long axis that pointed toward the Earth on 2007 May28 8.3125 UT (light-time corrected),0
2000216,Kleopatra,-1,108500.00,47000.00,40500.00,,,
2000433,Eros,8450.00,17000.00,5500.00,5500.00,Direct,unnamed crater,0
2000511,Davida,150000.00,180000.00,147000.00,127000.00,Direct,the long axis that points toward the Earth on 2002 December27 7.83 UT,0
2000253,Mathilde,26500.00,33000.00,24000.00,23000.00,,,
2002867,Steins,2700.00,3240.00,2730.00,2040.00,Direct,Topaz,0
2009969,1992KD,-1,-1,-1,-1,,,
2009969,Braille,-1,-1,-1,-1,,,
2004015,Wilson-Harrington,-1,-1,-1,-1,,,
2004179,Toutatis,-1,2130.00,1015.00,850.00,,,
2025143,Itokawa,-1,268.00,147.00,104.00,Direct,deﬁned with W0=0,0
